datetime,close,perc_return,cum_return,log_return,volume,trades
2018-04-17 06:02:00,0.27,,,,111061.6,15
2018-04-17 06:03:00,0.26108,-3.3037,-0.03304,-3.3595,65025.0,24
2018-04-17 06:04:00,0.26666,2.13728,-0.01237,2.11476,92526.7,38
2018-04-17 06:05:00,0.26666,0.0,-0.01237,0.0,75961.2,66
2018-04-17 06:06:00,0.26995,1.23378,-0.00019,1.22623,362270.3,145
2018-04-17 06:07:00,0.2669,-1.12984,-0.01148,-1.13627,450804.7,221
2018-04-17 06:08:00,0.26559,-0.49082,-0.01633,-0.49203,198924.4,87
2018-04-17 06:09:00,0.26696,0.51583,-0.01126,0.5145,190917.6,48
2018-04-17 06:10:00,0.26501,-0.73045,-0.01848,-0.73313,77771.0,32
2018-04-17 06:11:00,0.26688,0.70563,-0.01156,0.70315,197439.8,106
