datetime,close,perc_return,cum_return,log_return,volume,trades
2020-09-22 08:30:00,3.8999,,,,390056.42,2694
2020-09-22 08:31:00,4.2775,9.6823,0.09682,9.24178,295523.27,1767
2020-09-22 08:32:00,4.1021,-4.10053,0.05185,-4.18697,137106.97,1035
2020-09-22 08:33:00,4.1699,1.65281,0.06923,1.6393,117775.14,570
2020-09-22 08:34:00,4.18,0.24221,0.07182,0.24192,72788.25,475
2020-09-22 08:35:00,4.335,3.70813,0.11157,3.64103,115621.12,952
2020-09-22 08:36:00,4.29,-1.03806,0.10003,-1.04349,67848.12,690
2020-09-22 08:37:00,4.5602,6.29837,0.16931,6.10798,93022.57,795
2020-09-22 08:38:00,4.848,6.31113,0.24311,6.11998,130725.89,1265
2020-09-22 08:39:00,4.8342,-0.28465,0.23957,-0.28506,94075.1,942
