datetime,close,perc_return,cum_return,log_return,volume,trades
2019-07-05 14:00:00,0.0042,,,,60726008.0,521
2019-07-05 14:01:00,0.0043,2.38095,0.02381,2.35305,84307704.0,561
2019-07-05 14:02:00,0.0044745,4.05814,0.06536,3.97796,48182744.0,291
2019-07-05 14:03:00,0.00425,-5.01732,0.0119,-5.14756,66457853.0,289
2019-07-05 14:04:00,0.00435,2.35294,0.03571,2.32569,22016425.0,179
2019-07-05 14:05:00,0.004281,-1.58621,0.01929,-1.59892,13095442.0,89
2019-07-05 14:06:00,0.00413,-3.52721,-0.01667,-3.59092,58156052.0,266
2019-07-05 14:07:00,0.0041304,0.00969,-0.01657,0.00969,43984322.0,375
2019-07-05 14:08:00,0.0041,-0.73601,-0.02381,-0.73873,20857272.0,96
2019-07-05 14:09:00,0.0040216,-1.9122,-0.04248,-1.93072,15192433.0,137
