datetime,close,perc_return,cum_return,log_return,volume,trades
2017-11-06 04:54:00,1.5,,,,10.83,2
2017-11-06 04:55:00,1.3,-13.33333,-0.13333,-14.31008,1.0,1
2017-11-06 04:56:00,0.5,-61.53846,-0.66667,-95.55114,19.0,6
2017-11-06 04:57:00,0.61,22.0,-0.59333,19.88509,253.0,17
2017-11-06 04:58:00,1.1,80.32787,-0.26667,58.96065,85.0,1
2017-11-06 04:59:00,1.7,54.54545,0.13333,43.5318,280.29,6
2017-11-06 05:00:00,1.3,-23.52941,-0.13333,-26.8264,90.0,9
2017-11-06 05:01:00,1.3,0.0,-0.13333,0.0,0.0,0
2017-11-06 05:02:00,1.3,0.0,-0.13333,0.0,0.0,0
2017-11-06 05:03:00,1.3,0.0,-0.13333,0.0,0.0,0
