datetime,close,perc_return,cum_return,log_return,volume,trades
2017-08-17 06:00:00,4261.48,,,,1.775183,3
2017-08-17 06:01:00,4261.48,0.0,0.0,0.0,0.0,0
2017-08-17 06:02:00,4280.56,0.44773,0.00448,0.44673,0.261074,2
2017-08-17 06:03:00,4261.48,-0.44574,-0.0,-0.44674,0.012008,3
2017-08-17 06:04:00,4261.48,0.0,-0.0,0.0,0.140796,1
2017-08-17 06:05:00,4261.48,0.0,-0.0,0.0,0.0,0
2017-08-17 06:06:00,4261.48,0.0,-0.0,0.0,0.0,0
2017-08-17 06:07:00,4261.48,0.0,-0.0,0.0,0.0,0
2017-08-17 06:08:00,4261.48,0.0,-0.0,0.0,0.0,0
2017-08-17 06:09:00,4261.48,0.0,-0.0,0.0,0.0,0
