datetime,close,perc_return,cum_return,log_return,volume,trades
2017-08-17 06:00:00,301.13,,,,0.42643,2
2017-08-17 06:01:00,301.13,0.0,0.0,0.0,2.75787,4
2017-08-17 06:02:00,300.0,-0.37525,-0.00375,-0.37596,0.0993,2
2017-08-17 06:03:00,300.0,0.0,-0.00375,0.0,0.31389,3
2017-08-17 06:04:00,301.13,0.37667,0.0,0.37596,0.23202,1
2017-08-17 06:05:00,301.13,0.0,0.0,0.0,0.75705,4
2017-08-17 06:06:00,300.1,-0.34204,-0.00342,-0.34263,0.90018,4
2017-08-17 06:07:00,300.1,0.0,-0.00342,0.0,0.0,0
2017-08-17 06:08:00,298.0,-0.69977,-0.01039,-0.70223,0.31493,2
2017-08-17 06:09:00,298.0,0.0,-0.01039,0.0,0.0,0
